source_name source_uniprot target_uniprot
o95407 o95407 p60369
o95425 o95425 p02545
o95425 o95425 p04150
o95425 o95425 p46100
o95425 o95425 q03164
o95447 o95447 q8iuh5
o95475 o95475 q04724
o95477 o95477 q9y6k9
o95486 o95486 q01844
o95490 o95490 p16333
o95503 o95503 q99496
o95619 o95619 o60341
o95630 o95630 p62993
o95751 o95751 p42858
o95816 o95816 q9bqa1
o95819 o95819 p10114
o95819 o95819 p19634
o95819 o95819 p36873
o95819 o95819 p37231
o95819 o95819 p62136
o95819 o95819 q02156
o95819 o95819 q12840
o95819 o95819 q2kjy2
o95819 o95819 q9h0r5
o95819 o95819 q9y5b8
o95832 o95832 o60885
o95837 o95837 q6nyc1
o95863 o95863 p35609
o95863 o95863 p60369
o95863 o95863 q7z3s9
o95867 o95867 q8iuh5
o95872 o95872 p62993
o95897 o95897 p60369
o95931 o95931 q99496
o95931 o95931 q9byg0
o95931 o95931 q9h5i1
o95967 o95967 p54253
o95971 o95971 q6rw13
o95980 o95980 q7z3s9
o95983 o95983 q14839
o95983 o95983 q16576
o95990 o95990 q92624
o95996 o95996 q13625
o95999 o95999 q9bxl5
o96013 o96013 p54274
o96015 o96015 p60369
o96017 o96017 q9bz95
o96028 o96028 o60885
p00441 p00441 a6nec2
p00441 p00441 o00154
p00441 p00441 o00231
p00441 p00441 o00429
p00441 p00441 o00487
p00441 p00441 o14617
p00441 p00441 o15347
p00441 p00441 o15371
p00441 p00441 o15372
p00441 p00441 o43707
p00441 p00441 o60361
p00441 p00441 o60888
p00441 p00441 o75347
p00441 p00441 o75531
p00441 p00441 o75688
p00441 p00441 p00338
p00441 p00441 p00558
p00441 p00441 p02545
p00441 p00441 p02765
p00441 p00441 p04075
p00441 p00441 p04083
p00441 p00441 p05023
p00441 p00441 p05198
p00441 p00441 p05455
p00441 p00441 p07195
p00441 p00441 p07237
p00441 p00441 p07602
p00441 p00441 p07686
p00441 p00441 p07737
p00441 p00441 p07741
p00441 p00441 p07814
p00441 p00441 p09132
p00441 p00441 p09211
p00441 p00441 p09429
p00441 p00441 p09936
p00441 p00441 p11586
p00441 p00441 p12268
p00441 p00441 p12270
p00441 p00441 p12277
p00441 p00441 p12956
p00441 p00441 p13010
p00441 p00441 p13639
p00441 p00441 p13667
p00441 p00441 p13929
p00441 p00441 p14174
p00441 p00441 p14314
p00441 p00441 p14625
p00441 p00441 p14868
p00441 p00441 p15313
p00441 p00441 p16949
p00441 p00441 p17661
p00441 p00441 p19388
